"2023-09-21";"16:36:03";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-09-21 16:23:10.526";"1695338590526";"0";"2023-09-21";"16:23:10";"SCHS";"";"Chart start ";""
"2023-09-21 16:25:45.190";"1695338745190";"154664";"2023-09-21";"16:25:45";"SLCS";"";"Light Curve start ";""
"2023-09-21 16:25:45.190";"1695338745190";"154664";"2023-09-21";"16:25:45";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.019, ETRmPot: 19.740 ) ";""
"2023-09-21 16:25:45.190";"1695338745190";"154664";"2023-09-21";"16:25:45";"REG2";"";"#1: alpha: 0.093, ETRm: 42.399, Ik: 456.940 ";""
"2023-09-21 16:25:46.585";"1695338746585";"156059";"2023-09-21";"16:25:46";"FO";"1";"110";"238";"0";"0.538";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"110";"238";"0.538"
"2023-09-21 16:26:06.577";"1695338766577";"176051";"2023-09-21";"16:26:06";"F";"2";"102";"144";"65";"0.292";"8.0";"85";"0.84";"0.712";"0.539";"0.593";"0.653";"0.429";"0.279";"110";"238";"0.538"
"2023-09-21 16:26:26.564";"1695338786564";"196038";"2023-09-21";"16:26:26";"F";"3";"80";"111";"90";"0.279";"10.5";"72";"0.84";"0.795";"0.695";"0.716";"1.144";"0.336";"0.385";"110";"238";"0.538"
"2023-09-21 16:26:46.557";"1695338806557";"216031";"2023-09-21";"16:26:46";"F";"4";"72";"95";"125";"0.242";"12.7";"65";"0.84";"0.767";"0.766";"0.692";"1.505";"0.303";"0.455";"110";"238";"0.538"
"2023-09-21 16:27:06.547";"1695338826547";"236021";"2023-09-21";"16:27:06";"F";"5";"67";"86";"190";"0.221";"17.6";"61";"0.84";"0.760";"0.805";"0.692";"1.767";"0.282";"0.497";"110";"238";"0.538"
