"2023-09-21";"15:05:59";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"2023-09-21 15:02:38.568";"1695333758568";"676955";"2023-09-21";"15:02:38";"REG2";"";"#1: alpha: 0.162, ETRm: 49.343, Ik: 305.112 ";""
"2023-09-21 15:02:39.972";"1695333759972";"678359";"2023-09-21";"15:02:39";"FO";"19";"197";"1067";"0";"0.815";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"197";"1067";"0.815"
"2023-09-21 15:02:59.967";"1695333779967";"698354";"2023-09-21";"15:02:59";"F";"20";"405";"785";"65";"0.484";"13.2";"185";"0.84";"0.633";"0.310";"0.289";"0.359";"0.380";"0.136";"197";"1067";"0.815"
"2023-09-21 15:03:19.953";"1695333799953";"718340";"2023-09-21";"15:03:19";"F";"21";"356";"601";"90";"0.408";"15.4";"172";"0.84";"0.571";"0.507";"0.276";"0.775";"0.334";"0.258";"197";"1067";"0.815"
"2023-09-21 15:03:39.945";"1695333819945";"738332";"2023-09-21";"15:03:39";"F";"22";"322";"512";"125";"0.371";"19.5";"164";"0.84";"0.546";"0.600";"0.278";"1.084";"0.302";"0.327";"197";"1067";"0.815"
"2023-09-21 15:03:59.926";"1695333839926";"758313";"2023-09-21";"15:03:59";"F";"23";"307";"461";"190";"0.334";"26.7";"159";"0.84";"0.510";"0.653";"0.264";"1.315";"0.288";"0.378";"197";"1067";"0.815"
"2023-09-21 15:04:19.922";"1695333859922";"778309";"2023-09-21";"15:04:19";"F";"24";"299";"423";"285";"0.293";"35.1";"154";"0.84";"0.461";"0.691";"0.237";"1.522";"0.280";"0.427";"197";"1067";"0.815"
"2023-09-21 15:04:39.911";"1695333879911";"798298";"2023-09-21";"15:04:39";"F";"25";"297";"390";"420";"0.238";"42.0";"149";"0.84";"0.386";"0.723";"0.194";"1.736";"0.278";"0.484";"197";"1067";"0.815"
"2023-09-21 15:04:59.892";"1695333899892";"818279";"2023-09-21";"15:04:59";"F";"26";"292";"358";"625";"0.184";"48.3";"144";"0.84";"0.308";"0.754";"0.152";"1.980";"0.274";"0.542";"197";"1067";"0.815"
"2023-09-21 15:05:19.885";"1695333919885";"838272";"2023-09-21";"15:05:19";"F";"27";"280";"327";"820";"0.144";"49.6";"139";"0.84";"0.250";"0.784";"0.124";"2.263";"0.262";"0.594";"197";"1067";"0.815"
"2023-09-21 15:05:23.444";"1695333923444";"841831";"2023-09-21";"15:05:23";"SLCE";"";"Light Curve end ";""
