"2024-05-02";"12:17:26";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"2:F";"2:Fm'";"2:PAR";"2:Y (II)";"2:ETR";"2:Fo'";"2:ETR-F.";"2:qP";"2:qN";"2:qL";"2:NPQ";"2:Y (NO)";"2:Y (NPQ)";"2:Fo";"2:Fm";"2:Fv/Fm"
"2024-05-02 12:13:28.640";"1714677208640";"720557";"2024-05-02";"12:13:28";"FO";"19";"36";"93";"0";"0.613";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"36";"93";"0.613"
"2024-05-02 12:13:48.636";"1714677228636";"740553";"2024-05-02";"12:13:48";"F";"20";"56";"86";"65";"0.349";"9.5";"35";"0.84";"0.588";"0.105";"0.368";"0.081";"0.602";"0.049";"36";"93";"0.613"
"2024-05-02 12:14:08.615";"1714677248615";"760532";"2024-05-02";"12:14:08";"F";"21";"54";"77";"90";"0.299";"11.3";"33";"0.84";"0.523";"0.228";"0.320";"0.208";"0.581";"0.120";"36";"93";"0.613"
"2024-05-02 12:14:28.613";"1714677268613";"780530";"2024-05-02";"12:14:28";"F";"22";"51";"74";"125";"0.311";"16.3";"33";"0.84";"0.561";"0.281";"0.363";"0.257";"0.548";"0.141";"36";"93";"0.613"
"2024-05-02 12:14:48.592";"1714677288592";"800509";"2024-05-02";"12:14:48";"F";"23";"46";"67";"190";"0.313";"25.0";"31";"0.84";"0.583";"0.368";"0.393";"0.388";"0.495";"0.192";"36";"93";"0.613"
"2024-05-02 12:15:08.588";"1714677308588";"820505";"2024-05-02";"12:15:08";"F";"24";"43";"57";"285";"0.246";"29.4";"29";"0.84";"0.500";"0.509";"0.337";"0.632";"0.462";"0.292";"36";"93";"0.613"
"2024-05-02 12:15:28.574";"1714677328574";"840491";"2024-05-02";"12:15:28";"F";"25";"39";"50";"420";"0.220";"38.8";"27";"0.84";"0.478";"0.596";"0.331";"0.860";"0.419";"0.361";"36";"93";"0.613"
"2024-05-02 12:15:48.562";"1714677348562";"860479";"2024-05-02";"12:15:48";"F";"26";"37";"45";"625";"-";"-";"-";"0.84";"-";"-";"-";"-";"-";"-";"36";"93";"0.613"
"2024-05-02 12:16:08.555";"1714677368555";"880472";"2024-05-02";"12:16:08";"F";"27";"34";"43";"820";"-";"-";"-";"0.84";"-";"-";"-";"-";"-";"-";"36";"93";"0.613"
"2024-05-02 12:16:12.111";"1714677372111";"884028";"2024-05-02";"12:16:12";"SLCE";"";"Light Curve end ";""
