"2022-09-08";"12:24:05";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:ETR-F.";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2022-09-08 12:07:57.015";"1662664077015";"0";"2022-09-08";"12:07:57";"SCHS";"";"Chart start ";""
"2022-09-08 12:10:26.582";"1662664226582";"149567";"2022-09-08";"12:10:26";"SLCS";"";"Light Curve start ";""
"2022-09-08 12:10:26.582";"1662664226582";"149567";"2022-09-08";"12:10:26";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 33.422 ) ";""
"2022-09-08 12:10:26.582";"1662664226582";"149567";"2022-09-08";"12:10:26";"REG2";"";"#1: alpha: 0.178, ETRm: 35.429, Ik: 198.690 ";""
"2022-09-08 12:10:27.982";"1662664227982";"150967";"2022-09-08";"12:10:27";"FO";"1";"431";"1036";"0";"-";"0.584";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"431";"1036";"0.584"
"2022-09-08 12:10:47.973";"1662664247973";"170958";"2022-09-08";"12:10:47";"F";"2";"395";"674";"65";"-";"0.414";"11.3";"352";"0.84";"0.866";"0.468";"0.772";"0.537";"0.381";"0.205";"431";"1036";"0.584"
"2022-09-08 12:11:07.956";"1662664267956";"190941";"2022-09-08";"12:11:07";"F";"3";"387";"659";"90";"-";"0.413";"15.6";"348";"0.84";"0.875";"0.486";"0.787";"0.572";"0.374";"0.213";"431";"1036";"0.584"
"2022-09-08 12:11:27.950";"1662664287950";"210935";"2022-09-08";"12:11:27";"F";"4";"352";"581";"125";"-";"0.394";"20.7";"325";"0.84";"0.895";"0.577";"0.826";"0.783";"0.340";"0.266";"431";"1036";"0.584"
"2022-09-08 12:11:47.932";"1662664307932";"230917";"2022-09-08";"12:11:47";"F";"5";"301";"447";"190";"-";"0.327";"26.1";"278";"0.84";"0.864";"0.721";"0.798";"1.318";"0.291";"0.382";"431";"1036";"0.584"
"2022-09-08 12:12:07.924";"1662664327924";"250909";"2022-09-08";"12:12:07";"F";"6";"272";"363";"285";"-";"0.251";"30.0";"243";"0.84";"0.758";"0.802";"0.677";"1.854";"0.263";"0.486";"431";"1036";"0.584"
"2022-09-08 12:12:27.915";"1662664347915";"270900";"2022-09-08";"12:12:27";"F";"7";"259";"320";"420";"-";"0.191";"33.7";"223";"0.84";"0.629";"0.840";"0.542";"2.238";"0.250";"0.559";"431";"1036";"0.584"
"2022-09-08 12:12:47.905";"1662664367905";"290890";"2022-09-08";"12:12:47";"F";"8";"256";"295";"625";"-";"0.132";"34.7";"211";"0.84";"0.464";"0.861";"0.382";"2.512";"0.247";"0.621";"431";"1036";"0.584"
"2022-09-08 12:13:07.885";"1662664387885";"310870";"2022-09-08";"12:13:07";"F";"9";"254";"285";"820";"-";"0.109";"37.5";"206";"0.84";"0.392";"0.869";"0.318";"2.635";"0.245";"0.646";"431";"1036";"0.584"
"2022-09-08 12:13:11.684";"1662664391684";"314669";"2022-09-08";"12:13:11";"SLCE";"";"Light Curve end ";""
"2022-09-08 12:15:21.480";"1662664521480";"444465";"2022-09-08";"12:15:21";"SLCS";"";"Light Curve start ";""
"2022-09-08 12:15:21.480";"1662664521480";"444465";"2022-09-08";"12:15:21";"REG1";"";"#1: Error: Not enough measures for calculating regression data ";""
"2022-09-08 12:15:21.480";"1662664521480";"444465";"2022-09-08";"12:15:21";"REG2";"";"#1: Error: Not enough measures for calculating regression data ";""
"2022-09-08 12:15:22.866";"1662664522866";"445851";"2022-09-08";"12:15:22";"FO";"10";"151";"168";"0";"-";"0.101";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"151";"168";"0.101"
"2022-09-08 12:15:32.832";"1662664532832";"455817";"2022-09-08";"12:15:32";"SLCE";"";"Light Curve end ";""
"2022-09-08 12:16:02.122";"1662664562122";"485107";"2022-09-08";"12:16:02";"SLCS";"";"Light Curve start ";""
"2022-09-08 12:16:02.122";"1662664562122";"485107";"2022-09-08";"12:16:02";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.007, ETRmPot: 7.635 ) ";""
"2022-09-08 12:16:02.122";"1662664562122";"485107";"2022-09-08";"12:16:02";"REG2";"";"#1: alpha: 0.045, ETRm: 14.214, Ik: 314.084 ";""
"2022-09-08 12:16:03.522";"1662664563522";"486507";"2022-09-08";"12:16:03";"FO";"11";"307";"421";"0";"-";"0.271";"0.0";"-";"0.84";"-";"-";"-";"-";"-";"-";"307";"421";"0.271"
"2022-09-08 12:16:23.522";"1662664583522";"506507";"2022-09-08";"12:16:23";"F";"12";"184";"211";"65";"-";"0.128";"3.5";"178";"0.84";"0.818";"0.711";"0.791";"0.995";"0.437";"0.435";"307";"421";"0.271"
"2022-09-08 12:16:43.514";"1662664603514";"526499";"2022-09-08";"12:16:43";"F";"13";"181";"208";"90";"-";"0.130";"4.9";"176";"0.84";"0.844";"0.719";"0.821";"1.024";"0.430";"0.440";"307";"421";"0.271"
"2022-09-08 12:17:03.507";"1662664623507";"546492";"2022-09-08";"12:17:03";"F";"14";"181";"205";"125";"-";"0.117";"6.1";"174";"0.84";"0.774";"0.728";"0.744";"1.054";"0.430";"0.453";"307";"421";"0.271"
