"2024-04-16";"17:29:19";"WinControl (rev 1142) report file"
"Datetime";"Time (abs/ms)";"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:qL";"1:NPQ";"1:Y (NO)";"1:Y (NPQ)";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"0";"0";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1100B) ";""
"2023-08-18 14:50:07.793";"1692395407793";"0";"2023-08-18";"14:50:07";"SCHS";"";"Chart start ";""
"2023-08-18 15:38:20.601";"1692398300601";"2892808";"2023-08-18";"15:38:20";"SLCS";"";"Light Curve start ";""
"2023-08-18 15:38:20.601";"1692398300601";"2892808";"2023-08-18";"15:38:20";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.024, ETRmPot: 32.465 ) ";" "
"2023-08-18 15:38:20.601";"1692398300601";"2892808";"2023-08-18";"15:38:20";"REG2";"";"#1: alpha: 0.110, ETRm: 62.303, Ik: 567.335 ";" "
"2023-08-18 15:38:21.996";"1692398301996";"2894203";"2023-08-18";"15:38:21";"FO";"28";"140";"339";"0";"0.587";"0.0";"-";"-";"-";"-";"-";"-";"-";"140";"339";"0.587"
"2023-08-18 15:38:41.985";"1692398321985";"2914192";"2023-08-18";"15:38:41";"F";"29";"136";"193";"65";"0.295";"8.1";"107";"0.663";"0.568";"0.522";"0.756";"0.401";"0.304";"140";"339";"0.587"
"2023-08-18 15:39:01.974";"1692398341974";"2934181";"2023-08-18";"15:39:01";"F";"30";"118";"164";"90";"0.280";"10.6";"97";"0.687";"0.663";"0.565";"1.067";"0.348";"0.372";"140";"339";"0.587"
"2023-08-18 15:39:21.959";"1692398361959";"2954166";"2023-08-18";"15:39:21";"F";"31";"110";"154";"125";"0.286";"15.0";"94";"0.733";"0.698";"0.626";"1.201";"0.324";"0.390";"140";"339";"0.587"
"2023-08-18 15:39:41.946";"1692398381946";"2974153";"2023-08-18";"15:39:41";"F";"32";"107";"147";"190";"0.272";"21.7";"91";"0.714";"0.719";"0.607";"1.306";"0.316";"0.412";"140";"339";"0.587"
"2023-08-18 15:40:01.943";"1692398401943";"2994150";"2023-08-18";"15:40:01";"F";"33";"107";"142";"285";"0.246";"29.4";"89";"0.660";"0.734";"0.549";"1.387";"0.316";"0.438";"140";"339";"0.587"
"2023-08-18 15:40:21.923";"1692398421923";"3014130";"2023-08-18";"15:40:21";"F";"34";"108";"137";"420";"0.212";"37.4";"87";"0.580";"0.749";"0.467";"1.474";"0.319";"0.469";"140";"339";"0.587"
"2023-08-18 15:40:41.918";"1692398441918";"3034125";"2023-08-18";"15:40:41";"F";"35";"109";"133";"625";"0.180";"47.3";"85";"0.500";"0.759";"0.390";"1.549";"0.322";"0.498";"140";"339";"0.587"
"2023-08-18 15:41:01.909";"1692398461909";"3054116";"2023-08-18";"15:41:01";"F";"36";"109";"131";"820";"0.168";"57.9";"85";"0.478";"0.769";"0.373";"1.588";"0.322";"0.510";"140";"339";"0.587"
"2023-08-18 15:41:05.120";"1692398465120";"3057327";"2023-08-18";"15:41:05";"SLCE";"";"Light Curve end ";""
"2023-08-18 15:42:18.042";"1692398538042";"3130249";"2023-08-18";"15:42:18";"SLCS";"";"Light Curve start ";""
"2023-08-18 15:42:18.042";"1692398538042";"3130249";"2023-08-18";"15:42:18";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.014, ETRmPot: 61.407 ) ";" "
"2023-08-18 15:42:18.042";"1692398538042";"3130249";"2023-08-18";"15:42:18";"REG2";"";"#1: alpha: 0.105, ETRm: 69.632, Ik: 665.303 ";" "
"2023-08-18 15:42:19.443";"1692398539443";"3131650";"2023-08-18";"15:42:19";"FO";"37";"115";"235";"0";"0.511";"0.0";"-";"-";"-";"-";"-";"-";"-";"115";"235";"0.511"
"2023-08-18 15:42:39.427";"1692398559427";"3151634";"2023-08-18";"15:42:39";"F";"38";"111";"153";"65";"0.275";"7.5";"91";"0.677";"0.483";"0.555";"0.536";"0.472";"0.253";"115";"235";"0.511"
"2023-08-18 15:42:59.422";"1692398579422";"3171629";"2023-08-18";"15:42:59";"F";"39";"95";"130";"90";"0.269";"10.2";"82";"0.729";"0.600";"0.629";"0.808";"0.404";"0.327";"115";"235";"0.511"
"2023-08-18 15:43:19.424";"1692398599424";"3191631";"2023-08-18";"15:43:19";"F";"40";"89";"120";"125";"0.258";"13.5";"78";"0.738";"0.650";"0.647";"0.958";"0.379";"0.363";"115";"235";"0.511"
"2023-08-18 15:43:39.414";"1692398619414";"3211621";"2023-08-18";"15:43:39";"F";"41";"85";"114";"190";"0.254";"20.3";"76";"0.763";"0.683";"0.682";"1.061";"0.362";"0.384";"115";"235";"0.511"
"2023-08-18 15:43:59.400";"1692398639400";"3231607";"2023-08-18";"15:43:59";"F";"42";"83";"108";"285";"0.231";"27.7";"73";"0.714";"0.708";"0.628";"1.176";"0.353";"0.416";"115";"235";"0.511"
"2023-08-18 15:44:19.396";"1692398659396";"3251603";"2023-08-18";"15:44:19";"F";"43";"82";"105";"420";"0.219";"38.6";"72";"0.697";"0.725";"0.612";"1.238";"0.349";"0.432";"115";"235";"0.511"
"2023-08-18 15:44:39.382";"1692398679382";"3271589";"2023-08-18";"15:44:39";"F";"44";"81";"100";"625";"0.190";"49.9";"69";"0.613";"0.742";"0.522";"1.350";"0.345";"0.465";"115";"235";"0.511"
"2023-08-18 15:44:59.365";"1692398699365";"3291572";"2023-08-18";"15:44:59";"F";"45";"81";"98";"820";"0.173";"59.6";"68";"0.567";"0.750";"0.476";"1.398";"0.345";"0.482";"115";"235";"0.511"
"2023-08-18 15:45:03.133";"1692398703133";"3295340";"2023-08-18";"15:45:03";"SLCE";"";"Light Curve end ";""
"2023-08-18 15:46:46.611";"1692398806611";"3398818";"2023-08-18";"15:46:46";"SLCS";"";"Light Curve start ";""
"2023-08-18 15:46:46.611";"1692398806611";"3398818";"2023-08-18";"15:46:46";"REG1";"";"#1: alpha: 0.204, ETRm: 71.536, Ik: 350.134   ( beta: 2.693, ETRmPot: 2659.829 ) ";" "
"2023-08-18 15:46:46.611";"1692398806611";"3398818";"2023-08-18";"15:46:46";"REG2";"";"#1: alpha: 0.178, ETRm: 72.865, Ik: 409.626 ";" "
"2023-08-18 15:46:48.009";"1692398808009";"3400216";"2023-08-18";"15:46:48";"FO";"46";"152";"510";"0";"0.702";"0.0";"-";"-";"-";"-";"-";"-";"-";"152";"510";"0.702"
"2023-08-18 15:47:07.997";"1692398827997";"3420204";"2023-08-18";"15:47:07";"F";"47";"203";"354";"65";"0.427";"11.7";"134";"0.686";"0.385";"0.453";"0.441";"0.398";"0.175";"152";"510";"0.702"
"2023-08-18 15:47:27.987";"1692398847987";"3440194";"2023-08-18";"15:47:27";"F";"48";"194";"331";"90";"0.414";"15.6";"131";"0.685";"0.441";"0.463";"0.541";"0.380";"0.206";"152";"510";"0.702"
"2023-08-18 15:47:47.982";"1692398867982";"3460189";"2023-08-18";"15:47:47";"F";"49";"191";"321";"125";"0.405";"21.3";"129";"0.677";"0.464";"0.457";"0.589";"0.375";"0.220";"152";"510";"0.702"
"2023-08-18 15:48:07.965";"1692398887965";"3480172";"2023-08-18";"15:48:07";"F";"50";"176";"288";"190";"0.389";"31.0";"124";"0.683";"0.542";"0.481";"0.771";"0.345";"0.266";"152";"510";"0.702"
"2023-08-18 15:48:27.954";"1692398907954";"3500161";"2023-08-18";"15:48:27";"F";"51";"159";"252";"285";"0.369";"44.2";"116";"0.684";"0.620";"0.499";"1.024";"0.312";"0.319";"152";"510";"0.702"
"2023-08-18 15:48:47.944";"1692398927944";"3520151";"2023-08-18";"15:48:47";"F";"52";"147";"217";"420";"0.323";"57.0";"108";"0.642";"0.696";"0.472";"1.350";"0.288";"0.389";"152";"510";"0.702"
"2023-08-18 15:49:07.934";"1692398947934";"3540141";"2023-08-18";"15:49:07";"F";"53";"139";"185";"625";"0.249";"65.4";"100";"0.541";"0.763";"0.389";"1.757";"0.273";"0.478";"152";"510";"0.702"
"2023-08-18 15:49:27.919";"1692398967919";"3560126";"2023-08-18";"15:49:27";"F";"54";"136";"171";"820";"0.205";"70.6";"96";"0.467";"0.791";"0.330";"1.982";"0.267";"0.528";"152";"510";"0.702"
"2023-08-18 15:49:31.209";"1692398971209";"3563416";"2023-08-18";"15:49:31";"SLCE";"";"Light Curve end ";""
