Date,Site,TreeID,BranchID,Li600_1,Li600_2,Li600_3,Dark_Li600,jPAM_start,jPAM_end,Hour,jpam_directory
10/23/22,Garcia,H,2,4,5,6,11,11:56:57,11:59:42,,1023_GarciaH
10/23/22,Garcia,H,3,7,8,9,12,12:01:33,12:04:18,,1023_GarciaH
11/4/22,Garcia,G,1,1,2,3,10,9:33:58,9:36:42,,1104_GarciaG
11/4/22,Garcia,G,2,4,5,6,11,9:38:37,9:41:22,,1104_GarciaG
11/4/22,Garcia,G,3,7,8,9,12,9:42:32,9:45:16,,1104_GarciaG
11/4/22,Garcia,E,1,1,2,3,10,10:19:10,10:21:55,,1104_GarciaE
11/4/22,Garcia,E,2,4,5,6,11,10:24:19,10:27:04,,1104_GarciaE
11/4/22,Garcia,E,3,7,8,9,12,10:28:33,10:31:18,,1104_GarciaE
11/4/22,Garcia,H,1,1,2,3,10,11:08:02,11:10:46,,1104_GarciaH
11/4/22,Garcia,H,2,4,5,6,11,11:13:46,11:16:31,,1104_GarciaH
11/4/22,Garcia,H,3,7,8,9,12,11:18:10,11:20:55,,1104_GarciaH
1/21/23,Garcia,G,1,1,2,3,10,10:08:33,10:11:17,,012123_GarciaG
1/21/23,Garcia,G,2,4,5,6,11,10:14:12,10:16:57,,012123_GarciaG
1/21/23,Garcia,G,3,7,8,9,12,10:35:36,10:38:20,,012123_GarciaG
1/21/23,Garcia,E,1,1,2,3,10,11:17:53,11:20:37,,012123_GarciaE
1/21/23,Garcia,E,2,4,5,6,11,11:23:22,11:26:07,,012123_GarciaE
1/21/23,Garcia,E,3,7,8,9,12,11:27:23,11:30:08,,012123_GarciaE
1/21/23,Garcia,H,1,1,2,3,10,12:41:11,12:43:56,,012123_GarciaH
1/21/23,Garcia,H,2,4,5,6,11,12:44:48,12:47:33,,012123_GarciaH
1/21/23,Garcia,H,3,7,8,9,12,12:49:00,12:51:45,,012123_GarciaH
2/20/23,Garcia,G,1,1,2,3,10,10:06:50,10:10:52,,022023_GarciaG
2/20/23,Garcia,G,2,4,5,6,11,10:12:41,10:15:25,,022023_GarciaG
2/20/23,Garcia,G,3,7,8,9,12,10:24:50,10:27:35,,022023_GarciaG
2/20/23,Garcia,E,1,1,2,3,10,11:07:13,11:09:58,,022023_GarciaE
2/20/23,Garcia,E,2,4,5,6,11,11:12:07,11:14:52,,022023_GarciaE
2/20/23,Garcia,E,3,7,8,9,12,11:17:39,11:20:24,,022023_GarciaE
2/20/23,Garcia,H,1,1,2,3,10,11:57:17,12:00:02,,022023_GarciaH
2/20/23,Garcia,H,2,4,5,6,11,12:01:01,12:03:45,,022023_GarciaH
2/20/23,Garcia,H,3,7,8,9,12,12:07:13,12:09:58,,022023_GarciaH
4/17/23,Garcia,G,1,1,2,3,10,12:10:05,12:12:49,,041723_GarciaG
4/17/23,Garcia,G,2,4,5,6,11,12:14:33,12:17:18,,041723_GarciaG
4/17/23,Garcia,G,3,7,8,9,12,12:23:08,12:25:53,,041723_GarciaG
4/17/23,Garcia,E,1,1,2,3,10,13:04:51,13:07:36,,041723_GarciaE
4/17/23,Garcia,E,2,4,5,6,11,13:09:52,13:12:36,,041723_GarciaE
4/17/23,Garcia,E,3,7,8,9,12,13:16:01,13:18:46,,041723_GarciaE
4/17/23,Garcia,H,1,1,2,3,10,14:06:50,14:09:35,,041723_GarciaH
4/17/23,Garcia,H,2,4,5,6,11,14:10:10,14:12:55,,041723_GarciaH
4/17/23,Garcia,H,3,7,8,9,12,14:14:05,14:16:50,,041723_GarciaH
5/1/23,Garcia,G,1,1,2,3,10,9:55:17,9:58:02,,050123_GarciaG
5/1/23,Garcia,G,2,4,5,6,11,10:07:22,10:10:07,,050123_GarciaG
5/1/23,Garcia,G,3,7,8,9,12,10:11:24,10:14:09,,050123_GarciaG
5/1/23,Garcia,E,1,1,2,3,10,10:51:47,10:54:31,,050123_GarciaE
5/1/23,Garcia,E,2,4,5,6,11,10:55:27,10:58:12,,050123_GarciaE
5/1/23,Garcia,E,3,7,8,9,12,11:04:33,11:07:17,,050123_GarciaE
5/1/23,Garcia,H,1,1,2,3,10,11:43:57,11:46:41,,050123_GarciaH
5/1/23,Garcia,H,2,4,5,6,11,11:48:09,11:50:54,,050123_GarciaH
5/1/23,Garcia,H,3,7,8,9,12,11:56:44,11:59:29,,050123_GarciaH
5/29/23,Garcia,G,1,1,2,3,10,10:46:45,10:49:30,,052923_GarciaG
5/29/23,Garcia,G,2,4,5,6,11,10:51:02,10:53:46,,052923_GarciaG
5/29/23,Garcia,G,3,7,8,9,12,10:56:56,10:59,,052923_GarciaG
5/29/23,Garcia,E,1,1,2,3,10,11:32:44,11:35:29,,052923_GarciaE
5/29/23,Garcia,E,2,4,5,6,11,11:37:22,11:40:07,,052923_GarciaE
5/29/23,Garcia,E,3,7,8,9,12,11:41:19,11:44,,052923_GarciaE
5/29/23,Garcia,H,1,1,2,3,10,12:20:22,12:23:07,,052923_GarciaH
5/29/23,Garcia,H,2,4,5,6,11,12:23:43,12:26:27,,052923_GarciaH
5/29/23,Garcia,H,3,7,8,9,12,12:28:11,12:30:56,,052923_GarciaH
6/11/23,Garcia,G,1,1,2,3,10,11:27:32,11:30:17,,061123_GarciaG
6/11/23,Garcia,G,2,4,5,6,11,11:32:30,11:35:16,,061123_GarciaG
6/11/23,Garcia,G,3,7,8,9,12,11:37:12,11:39:57,,061123_GarciaG
6/11/23,Garcia,E,1,1,2,3,10,12:10:49,12:13:34,,061123_GarciaE
6/11/23,Garcia,E,2,4,5,6,11,12:14:44,12:17:29,,061123_GarciaE
6/11/23,Garcia,E,3,7,8,9,12,12:19:40,12:22:25,,061123_GarciaE
6/11/23,Garcia,H,1,1,2,3,10,12:55:25,12:58:06,,061123_GarciaH
6/11/23,Garcia,H,2,4,5,6,11,12:59:19,13:02:04,,061123_GarciaH
6/11/23,Garcia,H,3,7,8,9,12,13:03:08,13:05:52,,061123_GarciaH
6/28/23,Garcia,G,1,1,2,3,10,10:49:25,10:52:08,,062823_GarciaG
6/28/23,Garcia,G,2,4,5,6,11,10:54:51,10:57:16,,062823_GarciaG
6/28/23,Garcia,G,3,7,8,9,13,11:01:10,11:03:56,,062823_GarciaG
6/28/23,Garcia,E,1,1,2,3,10,11:39:25,11:42:10,,062823_GarciaE
6/28/23,Garcia,E,2,4,5,6,11,11:43:55,11:46:40,,062823_GarciaE
6/28/23,Garcia,E,3,7,8,9,13,11:48:13,11:50:58,,062823_GarciaE
6/28/23,Garcia,H,1,1,2,3,11,12:30:14,12:32:59,,062823_GarciaH
6/28/23,Garcia,H,2,4,5,7,12,12:34:30,12:37:15,,062823_GarciaH
6/28/23,Garcia,H,3,8,9,10,13,12:39:23,12:42:08,,062823_GarciaH
8/18/23,Garcia,G,1,1,3,4,1,10:33:48,10:36:33,10:00,081823_GarciaG
8/18/23,Garcia,G,2,5,6,7,2,10:38:29,10:41:14,10:00,081823_GarciaG
8/18/23,Garcia,G,3,8,9,10,3,10:43:23,10:46:08,10:00,081823_GarciaG
8/18/23,Garcia,E,1,1,2,3,1,11:18:33,11:21:18,11:00,081823_GarciaE
8/18/23,Garcia,E,2,4,6,7,2,11:23:00,11:25:45,11:00,081823_GarciaE
8/18/23,Garcia,E,3,9,10,11,3,11:29:15,11:32:00,11:00,081823_GarciaE
8/18/23,Garcia,H,1,1,2,3,1,12:06:23,12:09:07,12:00,081823_GarciaH
8/18/23,Garcia,H,2,4,5,6,2,12:10:49,12:13:34,12:00,081823_GarciaH
8/18/23,Garcia,H,3,7,8,9,3,12:15:11,12:17:56,12:00,081823_GarciaH
8/18/23,Garcia,G,1,1,2,3,1,13:31:09,13:33:53,13:00,081823_GarciaG_2
8/18/23,Garcia,G,2,4,5,6,2,13:34:51,13:37:36,13:00,081823_GarciaG_2
