"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-07-24","70",",,U","91","H,,U","51","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-07-25","67",",,U","90","H,,U","49","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-07-26","67",",,U","89","H,,U","52","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-07-27","67",",,U","88","H,,U","53","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-07-28","67",",,U","88","H,,U","52","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-07-29","67",",,U","89","H,,U","54","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-07-30","67",",,U","87","H,,U","56","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-07-31","67",",,U","81","H,,U","58","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-08-01","67",",,U","84","H,,U","58","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-08-02","73",",,U","96","H,,U","59","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-08-03","71",",,U","90","H,,U","56","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-08-04","76",",,U","98","H,,U","59","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-08-05","69",",,U","87","H,,U","55","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-08-06","68",",,U","85","H,,U","56","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-08-07","64",",,U","81","H,,U","52","H,,U"
"USR0000CBOO","BOONVILLE CALIFORNIA, CA US","2022-08-08","65",",,U","81","H,,U","56","H,,U"
