22,L,22,1707844344,7416.5,20240213 09:12:23,09:12:23,none,cabbi,1,,,1,,1707844344,0.000503374,0.503374392,4.622917039,397.323,162.5160333,16.59638377,40.5752273,0.032630917,2.967538497,0.032432885,0.020288245,162.0922813,25.68380309,24.9042,3.161562091,51.15129951,1.613642507,3.154646161,1.547919584,-22.19881068,-5.871483831,-0.418034706,133.6039521,3.038428263,0.460763325,4.622917039,406.3730854,403.8471091,-0.380184866,67.02371353,0.503374392,15.54248277,15.79644727,0.036934064,78.57679075,0,0,1,0,54414.63033,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,714.2305807,4.622917039,#DIV/0!,0.006472583,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.912,714.2305807,0.840358273,0.190716546,6,0.5,0: Broadleaf,2,TRUE,1707844344,397.323,400.085,15.8012,15.4124,399.408,15.6909,699.819,102.044,0.0775165,24.8675,24.9042,999.9,0,0,10013.5,0,0.00191117,-2.76221,403.702,406.348,0.388827,400.085,15.4124,1.61241,1.57273,14.0779,13.6942,849.912,0.987983,0.0120173,0,1281.75,5.00018,19805.6,7263.52,39.312,39.812,39.937,39.937,40.687,834.76,10.15,0,1685738753,0,1408.637308,-1222.932307,-27451.15211,21391.71538,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-6.47438131,195.0313212,41.3394293,0,-0.035330627,1.096642673,0.156164658,0,0,2,0/2,3.36677,2.77184,0.0975349,0.0973939,0.0868978,0.0848373,21376.7,22002.7,25140.7,25783.6,34919.8,35243.4,42063.1,41686,2.43608,2.40794,0.0717938,0,23.725,999.9,48.4,28.4,18.4239,60.8102,8.44952,2,-0.364571,0,20.3735,5.20387,11.9141,4.99212,3.28094,9999,9999,9999,150.5,4.97198,1.85832,1.86752,1.86269,1.86492,1.86111,1.86338,1.86097,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.085,0.1103,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,13.4,13.4,1.27808,2.51465,2.19604,2.67944,2.14966,2.45483,31.8049,14.097,18,692.095,747.746,23.864,22.7874,30.0009,22.7327,22.719,25.6496,26.1966,34.7398,-999.9,400,15.1063,101.938,101.968
23,L,1,1707854661,0,20240213 12:04:21,12:04:21,none,cabbi,1,,,1,,1707854661,0.000487803,0.487802892,2.741860134,399.665,221.0941748,22.56359971,40.78751095,0.026031995,2.964282804,0.025905655,0.016202334,162.141872,28.19824973,27.4069,3.665592773,49.06022486,1.795328122,3.659437206,1.870264651,-21.51210752,-4.586558897,-0.335232427,135.7079732,-1.171312674,-0.668610475,2.741860134,405.8004649,407.2061818,-0.972240948,67.02968277,0.487802892,18.16881411,17.5229903,0.230519201,78.62210671,23,3,1,0,53862.81911,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,714.449821,2.741860134,#DIV/0!,0.003837722,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.173,714.449821,0.840358164,0.190716327,6,0.5,0: Broadleaf,2,TRUE,1707854661,399.665,398.432,17.5919,18.1549,401.755,17.4485,700.016,101.968,0.0862478,27.3782,27.4069,999.9,0,0,10002.5,0,0.00191117,1.23355,406.822,405.799,-0.563097,398.432,18.1549,1.7938,1.85122,15.7329,16.2261,850.173,0.987993,0.0120072,0,375.59,5.00018,5801.39,7265.79,35.187,38.062,36.625,37.25,36.812,835.02,10.15,0,1685749071,0,426.0640769,-692.5061872,-24892.34096,7090.789231,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-16.50010613,81.3157051,22.80384811,0,-0.154877677,0.601634752,0.221069931,0,0,2,0/2,3.36783,2.78048,0.0967025,0.0958344,0.0927446,0.0943479,21197.4,21804.3,24929.7,25530.5,34393.1,34560.8,41685.6,41306.3,2.37672,2.31438,0.0779629,0,26.1315,999.9,60.3,31.7,27.7619,61.03,8.72195,2,0.0102947,0,20.3327,5.20184,11.9201,4.98992,3.2814,9999,9999,9999,153.4,4.97258,1.85944,1.86859,1.86386,1.86587,1.86218,1.86431,1.86206,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.09,0.1434,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,185.4,185.3,1.18896,2.50488,2.19604,2.69165,2.14844,2.48413,37.3138,23.9124,18,705.786,731.089,27.3075,27.5751,29.9994,27.6052,27.5998,23.8896,41.5724,90.3645,-999.9,400,18.2254,101.045,101.012
24,L,2,1707854856,195,20240213 12:07:36,12:07:36,none,cabbi,1,,,1,,1707854856,0.000773352,0.773352171,5.119656147,399.707,178.8465035,18.24980588,40.78679213,0.038951202,2.965483005,0.038669191,0.024193412,266.5684999,28.98721213,27.9151,3.776098084,48.21982308,1.791015965,3.714273198,1.985082119,-34.10483076,-45.19669636,-3.314685643,183.9522872,0.204345898,-0.622157609,5.119656147,407.0391193,407.3306121,-1.219258617,67.02971697,0.773352171,18.09490506,17.46817091,0.279067719,78.62184915,235,34,1,0,53852.33642,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1176.2172,5.119656147,#DIV/0!,0.004352645,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.91,1176.2172,0.840209156,0.190418313,6,0.5,0: Broadleaf,2,TRUE,1707854856,399.707,399.669,17.5518,18.0757,401.797,17.4091,700.024,101.966,0.0757259,27.6324,27.9151,999.9,0,0,10009.5,0,0.00191117,0.0382385,406.848,407.026,-0.523973,399.669,18.0757,1.78968,1.84311,15.697,16.1573,1399.91,0.993006,0.00699396,0,509.808,5.00018,9275.05,12009,38.062,42,39.312,41.75,39.937,1385.15,9.76,0,1685749266,0,592.68856,-1095.010306,-69988.80905,12810.1744,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-20.69082507,180.2360618,18.83895848,0,-0.176274741,1.391291025,0.152514601,0,0,2,0/2,3.36783,2.77003,0.0967588,0.096108,0.0926359,0.0940939,21206.6,21810.4,24941,25544.2,34413.2,34588,41705.6,41327.3,2.00696,2.31558,0.113666,0,26.0562,999.9,58.5,31.9,27.2397,61.15,7.90865,2,-0.00848984,0,20.3277,5.20267,11.9201,4.99076,3.28138,9999,9999,9999,153.5,4.97258,1.85952,1.86859,1.8639,1.86595,1.86219,1.86432,1.86218,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.09,0.1427,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,188.6,188.6,1.25244,2.52441,2.19604,2.68311,2.14966,2.41699,38.3056,23.8949,18,459.537,729.635,27.2955,27.3435,29.9999,27.3978,27.4019,25.1482,39.1633,81.5734,-999.9,400,18.1845,101.092,101.064
25,L,3,1707855008,346.5,20240213 12:10:07,12:10:07,none,cabbi,1,,,1,,1707855008,0.000518155,0.518154929,2.302993389,402.472,244.0080316,24.89698302,41.06560955,0.025044428,2.966632182,0.024927561,0.01559018,266.6001999,29.36517145,28.2883,3.859088707,47.5037782,1.79696223,3.782777492,2.062126477,-22.85063237,-54.84242274,-4.034311729,184.8728331,-2.578937955,-1.14310578,2.302993389,407.4309041,410.1722909,-1.218606781,67.0296014,0.518154929,18.54856241,17.51107273,0.322196593,78.61658414,189,27,1,0,53829.69526,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1176.3597,2.302993389,#DIV/0!,0.001957729,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.08,1176.3597,0.840208917,0.190417833,6,0.5,0: Broadleaf,2,TRUE,1707855008,402.472,399.867,17.6115,18.5741,404.566,17.4678,699.963,101.956,0.0774571,27.9454,28.2883,999.9,0,0,10017,0,0.00191117,2.60516,409.687,407.435,-0.96254,399.867,18.5741,1.79561,1.89375,15.7486,16.5828,1400.08,0.993009,0.00699085,0,347.805,5.00018,7006.74,12010.5,37.25,39.5,38.25,38.625,38.5,1385.33,9.75,0,1685749418,0,347.0546,176.448385,-476419.6719,28332.948,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-21.02382257,119.5981932,21.36279765,0,-0.192556811,0.894355798,0.206483211,0,0,2,0/2,3.36797,2.77182,0.0972696,0.0961505,0.0928624,0.0959517,21193.1,21808.5,24939.2,25543.1,34402.2,34516.2,41702.7,41326.4,2.09756,2.31406,0.102192,0,26.6183,999.9,55.6,32.1,26.1859,61.2,8.25721,2,-0.00714634,0,20.3267,5.20208,11.9201,4.99028,3.28134,9999,9999,9999,153.5,4.97259,1.85959,1.86864,1.86401,1.86599,1.86229,1.86433,1.86218,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.094,0.1437,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,191.1,191.1,1.26709,2.52441,2.19604,2.67944,2.14966,2.47437,39.0683,23.9036,18,511.549,727.809,27.4547,27.343,30,27.3632,27.3627,25.4193,35.2038,76.236,-999.9,400,18.5612,101.085,101.061
26,L,4,1707855248,586.5,20240213 12:14:07,12:14:07,none,cabbi,1,,,1,,1707855248,0.000716581,0.716580591,3.348250478,401.673,235.266489,24.00701037,40.98742629,0.034578364,2.965185454,0.034355901,0.021492306,266.5716999,29.46012186,28.4189,3.888504445,47.69808762,1.819690583,3.815017905,2.068813862,-31.60120405,-52.41779175,-3.863142884,178.6895612,-1.626243374,-0.900773182,3.348250478,407.5843075,409.4543152,-1.229871913,67.02968949,0.716580591,18.61447933,17.73857394,0.323496777,78.6262767,96,14,1,0,53761.47024,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1176.2337,3.348250478,#DIV/0!,0.002846586,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.93,1176.2337,0.840208939,0.190417878,6,0.5,0: Broadleaf,2,TRUE,1707855248,401.673,399.969,17.8328,18.5911,403.766,17.6849,700.021,101.959,0.082776,28.091,28.4189,999.9,0,0,10008.5,0,0.00191117,1.7045,408.966,407.546,-0.758261,399.969,18.5911,1.81821,1.89552,15.9442,16.5976,1399.93,0.993008,0.00699241,0,391.09,5.00018,7931.44,12009.2,36.75,38.687,37.562,38.187,38.062,1385.18,9.75,0,1685749658,0,401.4406,9.260536644,-816219.3804,43692.9608,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-24.67551115,159.9374268,22.91980007,0,-0.238497599,1.333034423,0.235075465,0,0,2,0/2,3.36803,2.77707,0.0971021,0.0961519,0.0936819,0.0959986,21189.6,21800.7,24931.2,25534.7,34359.9,34504.5,41689,41314.5,2.26,2.30672,0.106648,0,26.6764,999.9,51.4,32.6,24.902,60.93,8.8101,2,0.00559553,0,20.327,5.20148,11.9201,4.99044,3.28138,9999,9999,9999,153.6,4.97261,1.85967,1.86873,1.86402,1.86601,1.86234,1.86439,1.86225,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.093,0.1479,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,195.1,195.1,1.27319,2.54028,2.19604,2.68311,2.14966,2.47314,40.1967,23.8949,18,617.964,722.394,27.7121,27.4907,30,27.4602,27.4404,25.5468,30.5042,70.9719,-999.9,400,18.7033,101.052,101.03
27,L,5,1707855495,833.5,20240213 12:18:14,12:18:14,none,cabbi,1,,,1,,1707855495,0.000804687,0.804686918,0.389903815,447.968,416.1942625,42.46066536,45.70226226,0.0373648,2.965859348,0.037105243,0.023213947,266.5912999,29.46648432,28.5572,3.919867525,46.29211482,1.769058946,3.821512482,2.150808579,-35.48669309,-69.87429381,-5.152797169,156.0775159,-55.33076234,-1.537396864,0.389903815,407.5154958,461.2800303,-13.88249573,67.02957683,0.804686918,18.61051751,17.20581636,0.455532108,78.62734736,273,39,1,0,53775.67736,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1176.318,0.389903815,#DIV/0!,0.000331461,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.03,1176.318,0.840209138,0.190418277,6,0.5,0: Broadleaf,2,TRUE,1707855495,447.968,399.952,17.3401,18.635,450.14,17.2015,700.01,101.947,0.0742655,28.1202,28.5572,999.9,0,0,10013.5,0,0.00191117,48.0161,455.873,407.547,-1.29484,399.952,18.635,1.76777,1.89977,15.5047,16.6328,1400.03,0.993002,0.00699833,0,375.456,5.00018,7983.68,12010,36.312,38.562,37.062,38,38,1385.27,9.76,0,1685749905,0,340.5666,736.4942323,-1674739.147,92703.3504,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-123.7551784,-315.23819,117.2404645,0,-0.242126222,0.647906647,0.196222565,0,0,2,0/2,3.36805,2.7686,0.105416,0.0961639,0.0918188,0.0961738,21010.1,21818.3,24949,25555,34456.2,34524.6,41719.8,41346.6,1.92704,2.30676,0.120789,0,26.5837,999.9,48,33.1,23.9215,60.74,7.98878,2,-0.0155102,0,20.3283,5.20184,11.9201,4.98996,3.28138,9999,9999,9999,153.6,4.97264,1.85974,1.86874,1.86412,1.86603,1.86237,1.8644,1.86229,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.172,0.1386,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,199.2,199.2,1.27686,2.54883,2.19604,2.68921,2.14844,2.48901,40.8608,23.8861,18,416.67,721.133,27.8608,27.35,29.9994,27.3509,27.3369,25.6198,27.6927,68.361,-999.9,400,18.6774,101.126,101.11
28,L,6,1707855827,1165.6,20240213 12:23:46,12:23:46,none,cabbi,1,,,1,,1707855827,0.002202627,2.202627159,4.282311218,407.059,326.359132,33.29953849,41.53362203,0.102573701,2.96989363,0.100645467,0.063073642,266.5310999,29.90491323,28.9974,4.021167734,46.27426365,1.852437152,4.003169378,2.168730582,-97.13585773,-12.40875017,-0.919476822,156.0670152,-7.400664037,-2.121161842,4.282311218,408.0792172,415.5465697,-2.884761547,67.02892413,2.202627159,19.91240318,17.95253818,0.836386508,78.63721376,32,5,1,0,53750.78902,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1176.0495,4.282311218,#DIV/0!,0.003641268,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.71,1176.0495,0.8402094,0.190418801,6,0.5,0: Broadleaf,2,TRUE,1707855827,407.059,399.976,18.1552,19.9402,409.161,18.0012,700.051,101.946,0.0874203,28.9199,28.9974,999.9,0,0,10036.5,0,0.00191117,7.08276,414.586,408.114,-1.78506,399.976,19.9402,1.85085,2.03283,16.223,17.7024,1399.71,0.992997,0.00700278,0,401.27,5.00018,7488.28,12007.3,38.125,40.25,39,39.187,39.437,1384.94,9.77,0,1685750237,0,348.6175731,1679.905316,-1281035.282,92897.85846,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-29.80054327,146.6233128,15.80984362,0,-0.302986655,1.458578762,0.165509015,0,0,2,0/2,3.36863,2.78195,0.0981011,0.0961747,0.0948937,0.100933,21178.2,21814.4,24944.9,25550.9,34333.4,34338.3,41713.1,41341.2,2.36646,2.301,0.069201,0,27.8684,999.9,46.7,33.8,24.2027,60.7936,9.39904,2,-0.00869715,0,20.3254,5.19824,11.9201,4.9894,3.28092,9999,9999,9999,153.7,4.97263,1.85974,1.86874,1.86417,1.86604,1.86238,1.86438,1.86234,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.102,0.154,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,204.8,204.8,1.2793,2.55981,2.19604,2.68799,2.14966,2.46338,41.7174,23.8774,18,695.304,716.416,28.4887,27.4213,30.0008,27.386,27.3582,25.6893,24.0991,66.8579,-999.9,400,19.9329,101.11,101.095
29,L,7,1707856035,1374.1,20240213 12:27:15,12:27:15,none,cabbi,1,,,1,,1707856035,0.000986214,0.98621351,4.282069392,403.263,252.9968375,25.81001093,41.13973337,0.049428984,2.963920958,0.048975562,0.030650118,266.5969999,30.18119701,28.4875,3.904033792,47.77489369,1.908250796,3.994254405,1.995782996,-43.49201578,62.94163815,4.660597454,290.7072198,-3.445433503,-0.991401286,4.282069392,407.9402643,411.7119394,-1.933278235,67.02629735,0.98621351,19.53476148,18.5885,0.387740934,78.9716522,281,40,1,0,53583.51556,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1176.3432,4.282069392,#DIV/0!,0.003640153,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.06,1176.3432,0.840209134,0.190418268,6,0.5,0: Broadleaf,2,TRUE,1707856035,403.263,399.967,18.7052,19.5391,405.358,18.5408,699.981,101.942,0.0751287,28.8814,28.4875,999.9,0,0,10003,0,0.00191117,3.29568,410.95,407.938,-0.833878,399.967,19.5391,1.90684,1.99185,16.6913,17.3797,1400.06,0.993006,0.00699389,0,441.283,5.00018,8497.32,12010.3,37.5,39.812,38.437,38.375,38.75,1385.3,9.76,0,1685750445,0,420.7784615,530.9062553,-824148.1768,47838.19192,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-30.21970602,79.34484035,61.02563038,0,-0.134120218,-0.191466802,0.219188877,0,0,2,0/2,3.36838,2.76937,0.097371,0.0961304,0.0969197,0.099445,21186.9,21807,24935.9,25542,34243.1,34384.2,41696.9,41328,1.90658,2.29452,0.0720322,0,27.3112,999.9,46,34.1,24.2432,61.1036,8.10096,2,0.00614024,0,20.3265,5.20172,11.9201,4.99,3.2814,9999,9999,9999,153.8,4.97264,1.85974,1.86874,1.86415,1.866,1.86235,1.86437,1.86228,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.095,0.1644,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,208.3,208.3,1.28174,2.56836,2.19604,2.68677,2.14844,2.47925,41.5866,23.8774,18,407.352,712.572,28.5419,27.5975,30.0002,27.523,27.498,25.7224,25.7703,66.4867,-999.9,400,19.5093,101.071,101.062
30,L,8,1707856540,1879.1,20240213 12:35:40,12:35:40,none,cabbi,1,,,1,,1707856540,0.001436584,1.436584288,3.152882856,404.635,314.1522104,32.04967644,41.28069259,0.065564222,2.963042045,0.064768797,0.04055116,266.5804999,30.3595774,29.3045,4.093183316,46.68702752,1.896799034,4.062796744,2.196384282,-63.3533671,-20.60691443,-1.534766118,181.0854523,-4.701905258,-1.752354151,3.152882856,408.1708537,413.0867152,-1.976155546,67.02747063,1.436584288,20.07291122,18.41306242,0.629657535,78.63690407,7,1,1,0,53505.58405,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1176.2679,3.152882856,#DIV/0!,0.002680412,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.97,1176.2679,0.840209362,0.190418723,6,0.5,0: Broadleaf,2,TRUE,1707856540,404.635,399.997,18.5925,20.0666,406.733,18.4302,699.996,101.932,0.0875796,29.1755,29.3045,999.9,0,0,9999,0,0.00191117,4.63788,412.301,408.188,-1.47412,399.997,20.0666,1.89517,2.04543,16.5947,17.8005,1399.97,0.992999,0.0070013,0,422.017,5.00018,7988.77,12009.5,37.437,39.875,38.312,38.875,38.812,1385.2,9.77,0,1685750950,0,418.59776,259.3744582,-442688.8715,39732.0164,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-19.36601862,31.87620447,20.3915479,0,-0.209465096,0.223724236,0.24650121,0,0,2,0/2,3.36859,2.78179,0.0975232,0.096045,0.0964032,0.101255,21173.9,21795.5,24926.5,25527.9,34249.5,34299.3,41679.5,41308.9,2.39678,2.28598,0.103921,0,27.6091,999.9,44.3,34.4,23.7431,60.7936,9.38702,2,0.0295366,0,20.3263,5.20112,11.9201,4.99,3.28146,9999,9999,9999,153.9,4.97262,1.85973,1.86874,1.86412,1.86601,1.86234,1.86433,1.86227,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.098,0.1623,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,216.7,216.7,1.28662,2.57812,2.19604,2.68677,2.14966,2.44019,41.7436,23.8774,18,724.952,709.63,29.1236,27.975,30.0002,27.8882,27.8557,25.8338,21.5212,66.4885,-999.9,400,20.1099,101.031,101.012
31,L,9,1707856772,2110.6,20240213 12:39:31,12:39:31,none,cabbi,1,,,1,,1707856772,0.001591154,1.591154281,3.551920033,408.295,314.6762975,32.10042585,41.65055797,0.071341858,2.962621526,0.07040102,0.044084134,266.5785999,30.18670679,29.0911,4.043022522,44.73462815,1.803512668,4.031580774,2.239509854,-70.1699038,-7.826321733,-0.581970346,188.000404,-8.573218062,-2.711914525,3.551920033,408.1324373,416.6058303,-2.98068612,67.02743724,1.591154281,19.96007586,17.46078909,0.842385936,78.63444673,14,2,1,0,53516.78737,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1176.2595,3.551920033,#DIV/0!,0.003019674,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.96,1176.2595,0.840209363,0.190418726,6,0.5,0: Broadleaf,2,TRUE,1707856772,408.295,399.996,17.6796,19.9634,410.399,17.5345,699.878,101.923,0.087943,29.0421,29.0911,999.9,0,0,9997.5,0,0.00191117,8.29935,415.643,408.144,-2.28379,399.996,19.9634,1.80196,2.03473,15.8038,17.7172,1399.96,0.992999,0.00700139,0,827.586,5.00018,12934.4,12009.5,36.75,38.625,37.625,37.875,38.187,1385.19,9.77,0,1685751182,0,960.5688,-1702.306314,-258946.8079,35388.128,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-22.71870855,-24.2335918,18.66509907,0,-0.261019957,-0.624004432,0.226767245,0,0,2,0/2,3.36842,2.78214,0.0981814,0.0960441,0.0929626,0.100884,21158.2,21798.3,24926.1,25530.8,34380.3,34317.4,41679.3,41313.6,2.38672,2.28598,0.0798404,0,27.7886,999.9,44.2,34.5,23.8265,60.6437,9.5593,2,0.0266992,0,20.327,5.20196,11.9201,4.98932,3.2814,9999,9999,9999,154,4.97264,1.85961,1.8687,1.86404,1.866,1.86233,1.86432,1.86219,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.104,0.1451,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,220.5,220.5,1.28906,2.57446,2.19604,2.68921,2.14966,2.48779,41.1964,23.8861,18,716.725,709.21,28.9789,27.8996,29.9996,27.8671,27.8211,25.8646,22.7114,66.8609,-999.9,400,19.9647,101.03,101.023
32,L,10,1707857258,2597.1,20240213 12:47:38,12:47:38,none,cabbi,1,,,1,,1707857258,0.00040466,0.40465954,7.98804001,424.333,-225.8890418,-23.03827167,43.27743769,0.019817835,2.960915001,0.019744438,0.012346846,266.5823999,29.25346934,27.5758,3.702001793,44.43231698,1.666760599,3.75123494,2.035241194,-17.84548571,36.09208288,2.648800485,287.4777976,-27.1160904,-2.975926742,7.98804001,407.6442177,433.4592303,-8.403016537,67.02843785,0.40465954,18.85400616,16.12274364,0.671092917,78.62860067,72,10,1,0,53687.2293,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1176.2763,7.98804001,#DIV/0!,0.006790956,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399.98,1176.2763,0.84020936,0.19041872,6,0.5,0: Broadleaf,2,TRUE,1707857258,424.333,399.987,16.3425,18.8538,426.465,16.2223,699.389,101.906,0.0833284,27.8019,27.5758,999.9,0,0,9989.5,0,0.00191117,24.3456,431.383,407.674,-2.51134,399.987,18.8538,1.66539,1.92131,14.5775,16.8103,1399.98,0.992999,0.00700144,0,609.933,5.00018,9991.1,12009.6,37.437,38.562,38.312,37.437,38.562,1385.21,9.77,0,1685751668,0,510.2207269,2363.706706,-418728.8059,47284.07731,15,1707843540,08:59:00,1707843540,1707843540,1,-0.112,0.068,-2.09,0.03,400,11,0.28,0.05,-106.219438,517.3565623,207.5005831,0,-0.255902979,-0.596736748,0.19254355,0,0,2,0/2,3.3675,2.77745,0.101324,0.0962637,0.0880256,0.0970651,21130.2,21847.5,24974.6,25588.8,34638.5,34536.5,41766.5,41401.9,2.30842,2.30594,0.0447631,0,26.844,999.9,45.1,34,23.6463,60.8737,9.69151,2,-0.0632398,0,20.3663,5.20208,11.9201,4.9904,3.2814,9999,9999,9999,154.1,4.97206,1.85913,1.86816,1.86356,1.86554,1.86185,1.86386,1.86172,0,0,0,0,11111111,oooooooo,on,on,on,on,0,100,100,-2.132,0.1202,-1.252214355,-0.002493248,1.1597E-06,-3.50138E-10,-0.018539783,-0.007593507,0.001367325,-2.29441E-05,2,2118,1,27,228.6,228.6,1.29028,2.57568,2.19604,2.68066,2.14966,2.4646,39.4666,14.0095,18,645.49,713.865,27.7108,26.7229,29.9996,26.7965,26.8129,25.8999,27.0071,65.3739,-999.9,400,18.8372,101.236,101.244
